Chr1	CM083937.1
HiC_scaffold_665	JBGGOT010000623.1
HiC_scaffold_666	JBGGOT010000624.1
HiC_scaffold_667	JBGGOT010000625.1
HiC_scaffold_668	JBGGOT010000626.1
HiC_scaffold_669	JBGGOT010000627.1
HiC_scaffold_670	JBGGOT010000628.1
HiC_scaffold_671	JBGGOT010000629.1
HiC_scaffold_672	JBGGOT010000630.1
HiC_scaffold_673	JBGGOT010000631.1
HiC_scaffold_674	JBGGOT010000632.1
HiC_scaffold_675	JBGGOT010000633.1
HiC_scaffold_676	JBGGOT010000634.1
HiC_scaffold_677	JBGGOT010000635.1
HiC_scaffold_678	JBGGOT010000636.1
HiC_scaffold_679	JBGGOT010000637.1
HiC_scaffold_680	JBGGOT010000638.1
HiC_scaffold_681	JBGGOT010000639.1
HiC_scaffold_682	JBGGOT010000640.1
HiC_scaffold_683	JBGGOT010000641.1
HiC_scaffold_684	JBGGOT010000642.1
HiC_scaffold_685	JBGGOT010000643.1
HiC_scaffold_686	JBGGOT010000644.1
HiC_scaffold_687	JBGGOT010000645.1
HiC_scaffold_688	JBGGOT010000646.1
HiC_scaffold_689	JBGGOT010000647.1
HiC_scaffold_690	JBGGOT010000648.1
HiC_scaffold_691	JBGGOT010000649.1
HiC_scaffold_692	JBGGOT010000650.1
HiC_scaffold_693	JBGGOT010000651.1
HiC_scaffold_694	JBGGOT010000652.1
HiC_scaffold_695	JBGGOT010000653.1
HiC_scaffold_696	JBGGOT010000654.1
HiC_scaffold_697	JBGGOT010000655.1
HiC_scaffold_698	JBGGOT010000656.1
HiC_scaffold_699	JBGGOT010000657.1
HiC_scaffold_700	JBGGOT010000658.1
HiC_scaffold_701	JBGGOT010000659.1
